path	physicalLines	nonblankLines
SharpProof.Analyzer/AnalyzerDiagnosticCatalog.cs	79	79
SharpProof.Analyzer/AnalyzerDiagnosticSupport.cs	28	28
SharpProof.Analyzer/AnalyzerFeaturePipeline.cs	107	107
SharpProof.Analyzer/AnalyzerSession.cs	45	45
SharpProof.Analyzer/AnalyzerSyntaxHelpers.cs	58	58
SharpProof.Analyzer/AssemblyInfo.cs	4	4
SharpProof.Analyzer/Configuration/AnalyzerConfiguration.cs	74	74
SharpProof.Analyzer/Configuration/AnalyzerConfigurationOptionRegistry.cs	35	35
SharpProof.Analyzer/Configuration/ConfiguredEffectContractResolver.cs	98	98
SharpProof.Analyzer/ContractConditionHelpers.cs	100	100
SharpProof.Analyzer/EnforcePureContractAnalyzer.cs	20	20
SharpProof.Analyzer/Engine/Analysis/TypeHierarchyEnumeration.cs	25	25
SharpProof.Analyzer/Engine/ExecutionVisibility.Descendants.cs	17	17
SharpProof.Analyzer/ExceptionFlowAnalyzer.Contracts.cs	207	207
SharpProof.Analyzer/ExceptionFlowAnalyzer.cs	46	46
SharpProof.Analyzer/GlobalUsings.cs	19	19
SharpProof.Analyzer/InvalidContractArgumentDiagnostics.cs	5	5
SharpProof.Analyzer/MethodAllocationAnalyzer.cs	31	31
SharpProof.Analyzer/MethodAnalysisSnapshot.cs	37	37
SharpProof.Analyzer/MethodBodyAnalysisState.cs	114	114
SharpProof.Analyzer/MethodCapabilityAnalyzer.cs	46	46
SharpProof.Analyzer/MethodCompletionAnalysis.cs	75	75
SharpProof.Analyzer/MethodContractHierarchy.cs	50	50
SharpProof.Analyzer/MethodEnsuresAnalyzer.cs	352	352
SharpProof.Analyzer/MethodExpectedComplexityAnalyzer.cs	153	153
SharpProof.Analyzer/MethodRequiresAnalyzer.cs	228	228
SharpProof.Analyzer/NullableContractAnalyzer.cs	462	462
SharpProof.Analyzer/Polyfills/IsExternalInit.cs	5	5
SharpProof.Analyzer/RequiresContractHelpers.cs	126	126
SharpProof.Analyzer/SharpProofAnalyzer.cs	61	61
SharpProof.Analyzer/SharpProofAttributeIdentityPolicy.cs	35	35
SharpProof.Analyzer/SymbolAttributeTraversal.cs	12	12
SharpProof.Analyzer/SymbolEq.cs	13	13
SharpProof.Attributes/AllowedCapabilitiesAttribute.cs	5	5
SharpProof.Attributes/AllowedExceptionsAttribute.cs	6	6
SharpProof.Attributes/ComplexityKind.cs	28	28
SharpProof.Attributes/DoesNotThrowAttribute.cs	4	4
SharpProof.Attributes/EffectContractAttribute.cs	18	18
SharpProof.Attributes/EnforcePureAttribute.cs	4	4
SharpProof.Attributes/EnsuresAttribute.cs	6	6
SharpProof.Attributes/ExpectedComplexityAttribute.cs	5	5
SharpProof.Attributes/GlobalUsings.cs	1	1
SharpProof.Attributes/RequiresAttribute.cs	5	5
SharpProof.Attributes/SharpProofCapability.cs	18	18
SharpProof.Attributes/SharpProofEffect.cs	27	27
SharpProof.Attributes/ZeroAllocationsAttribute.cs	4	4
SharpProof.ProofCore/AnalysisProofQuery.cs	20	20
SharpProof.ProofCore/AnalysisProofSearch.cs	149	149
SharpProof.ProofCore/Collections/BoundedConcurrentCache.cs	82	82
SharpProof.ProofCore/GlobalUsings.cs	3	3
SharpProof.ProofCore/NullableAttributes.cs	14	14
SharpProof.ProofCore/Polyfills/IsExternalInit.cs	5	5
SharpProof.ProofCore/Properties/AssemblyInfo.cs	5	5
